country_name_ltn,gender,fintight,pct_in_gap,pct_not_in_gap,pct_0_barriers,pct_1_barrier,pct_2_barrier,pct_3_barriers,pct_4_barriers,pct_solution_barrier_barrier_1,pct_solution_barrier_barrier_2,pct_solution_barrier_barrier_3,pct_dcf_barrier_barrier_1,pct_dcf_barrier_barrier_2,pct_dcf_barrier_barrier_3,pct_info_barrier_barrier_1,pct_info_barrier_barrier_2,pct_info_barrier_barrier_3,pct_representation_barrier_barrier_1,pct_representation_barrier_barrier_2,pct_representation_barrier_barrier_3
Finland,Male,0,77.87234042553192,22.127659574468083,15.789473684210526,31.57894736842105,34.21052631578947,13.157894736842104,5.263157894736842,0,30.76923076923077,80,0,38.46153846153847,100,91.66666666666666,84.61538461538461,100,8.333333333333332,46.15384615384615,20
Finland,Male,1,77.38095238095238,22.61904761904762,6.122448979591836,24.489795918367346,44.89795918367347,22.448979591836736,2.0408163265306123,8.333333333333332,27.27272727272727,45.45454545454545,25,59.09090909090909,100,41.66666666666667,86.36363636363636,100,25,27.27272727272727,54.54545454545454
France,Female,0,70.06960556844548,29.930394431554525,9.375,35.15625,41.40625,13.28125,0.78125,4.444444444444445,15.09433962264151,70.58823529411765,6.666666666666667,45.28301886792453,82.35294117647058,64.44444444444444,92.45283018867924,100,24.444444444444443,47.16981132075472,47.05882352941176
France,Female,1,65.22811344019729,34.77188655980271,4.716981132075472,32.075471698113205,40.56603773584906,20.754716981132077,1.8867924528301887,0,23.25581395348837,63.63636363636363,17.647058823529413,37.2093023255814,90.9090909090909,70.58823529411765,88.37209302325581,100,11.76470588235294,51.162790697674424,45.45454545454545
France,Male,0,66.43518518518519,33.56481481481482,9.322033898305085,38.983050847457626,33.89830508474576,16.101694915254235,1.694915254237288,2.1739130434782608,20,57.89473684210527,21.73913043478261,40,89.47368421052632,56.52173913043478,87.5,100,19.565217391304348,52.5,52.63157894736842
France,Male,1,68.68852459016394,31.311475409836063,4.761904761904762,26.984126984126984,47.61904761904761,14.285714285714285,6.349206349206349,5.88235294117647,30,66.66666666666666,11.76470588235294,53.333333333333336,88.88888888888889,64.70588235294117,83.33333333333334,100,17.647058823529413,33.33333333333333,44.44444444444444
Germany,Female,0,68.97133220910624,31.02866779089376,11.618257261410788,25.72614107883817,42.32365145228216,16.59751037344398,3.7344398340248963,8.064516129032258,9.803921568627452,77.5,14.516129032258066,55.88235294117647,77.5,59.67741935483871,90.19607843137256,95,17.741935483870968,44.11764705882353,50
Germany,Female,1,69.97929606625259,30.020703933747413,7.446808510638298,23.404255319148938,37.234042553191486,27.127659574468083,4.787234042553192,2.272727272727273,11.428571428571429,68.62745098039215,29.545454545454547,60,86.27450980392157,45.45454545454545,92.85714285714286,96.07843137254902,22.727272727272727,35.714285714285715,49.01960784313725
Germany,Male,0,71.90795781399808,28.09204218600192,12.931034482758621,36.637931034482754,28.01724137931034,20.25862068965517,2.1551724137931036,3.5294117647058822,26.153846153846157,76.59574468085107,22.35294117647059,50.76923076923077,89.36170212765957,65.88235294117646,83.07692307692308,97.87234042553192,8.235294117647058,40,36.17021276595745
Germany,Male,1,67.76406035665295,32.23593964334705,13.709677419354838,28.225806451612907,32.25806451612903,25,0.8064516129032258,5.714285714285714,10,67.74193548387096,28.57142857142857,72.5,90.32258064516128,51.42857142857142,92.5,96.7741935483871,14.285714285714285,25,45.16129032258064
Greece,Female,0,70,30,10.526315789473683,63.1578947368421,21.052631578947366,5.263157894736842,0,0,25,100,16.666666666666664,0,100,66.66666666666666,100,100,16.666666666666664,75,0
Greece,Female,1,70.8,29.2,6.25,32.8125,40.625,14.0625,6.25,0,3.8461538461538463,88.88888888888889,23.809523809523807,76.92307692307693,77.77777777777779,47.61904761904761,100,100,28.57142857142857,19.230769230769234,33.33333333333333
Greece,Male,0,57.534246575342465,42.465753424657535,4.761904761904762,52.38095238095239,38.095238095238095,4.761904761904762,0,0,12.5,100,45.45454545454545,37.5,100,36.36363636363637,87.5,100,18.181818181818183,62.5,0
Greece,Male,1,66.0919540229885,33.90804597701149,8.333333333333332,29.166666666666668,43.75,16.666666666666664,2.083333333333333,0,9.523809523809524,62.5,42.857142857142854,47.61904761904761,87.5,28.57142857142857,95.23809523809523,100,28.57142857142857,47.61904761904761,50
Hungary,Female,0,70.93023255813954,29.069767441860467,16.3265306122449,26.53061224489796,42.857142857142854,10.204081632653061,4.081632653061225,0,14.285714285714285,40,0,52.38095238095239,80,69.23076923076923,80.95238095238095,100,30.76923076923077,52.38095238095239,80
Hungary,Female,1,67.52136752136752,32.47863247863248,4.761904761904762,31.746031746031743,38.095238095238095,22.22222222222222,3.1746031746031744,0,8.333333333333332,57.14285714285714,30,50,78.57142857142857,45,95.83333333333334,100,25,45.83333333333333,64.28571428571429
Hungary,Male,0,72.28915662650603,27.710843373493976,12.244897959183673,20.408163265306122,55.10204081632652,10.204081632653061,2.0408163265306123,0,22.22222222222222,60,50,44.44444444444444,80,40,96.29629629629629,100,10,37.03703703703704,60
Hungary,Male,1,74.18032786885246,25.81967213114754,9.090909090909092,24.242424242424242,54.54545454545454,9.090909090909092,3.0303030303030303,0,22.22222222222222,100,12.5,72.22222222222221,100,62.5,88.88888888888889,100,25,16.666666666666664,0
Italy,Female,0,73.41772151898735,26.582278481012654,2.898550724637681,27.536231884057973,44.927536231884055,21.73913043478261,2.898550724637681,10.526315789473683,16.129032258064516,53.333333333333336,5.263157894736842,41.935483870967744,86.66666666666667,78.94736842105263,93.54838709677419,100,5.263157894736842,48.38709677419355,60
Italy,Female,1,73.7984496124031,26.2015503875969,2.912621359223301,23.300970873786408,46.601941747572816,27.184466019417474,0,0,18.75,64.28571428571429,16.666666666666664,54.166666666666664,85.71428571428571,79.16666666666666,93.75,100,4.166666666666666,33.33333333333333,50
Italy,Male,0,79.38388625592417,20.61611374407583,4.761904761904762,30.952380952380953,42.857142857142854,20.238095238095237,1.1904761904761905,0,27.77777777777778,70.58823529411765,3.8461538461538463,52.77777777777778,88.23529411764706,80.76923076923077,91.66666666666666,100,15.384615384615385,27.77777777777778,41.17647058823529
Italy,Male,1,74.42827442827443,25.571725571725572,5.88235294117647,23.52941176470588,49.411764705882355,21.176470588235293,0,0,23.809523809523807,77.77777777777779,10,52.38095238095239,88.88888888888889,75,92.85714285714286,100,15,30.952380952380953,33.33333333333333
Latvia,Female,0,64.47368421052632,35.526315789473685,21.428571428571427,35.714285714285715,21.428571428571427,7.142857142857142,14.285714285714285,0,0,100,40,66.66666666666666,100,40,100,0,20,33.33333333333333,100
Latvia,Female,1,80,20,7.142857142857142,28.57142857142857,50,14.285714285714285,0,0,0,100,25,57.14285714285714,100,50,100,100,25,42.857142857142854,0
Latvia,Male,0,73.33333333333333,26.666666666666668,9.523809523809524,28.57142857142857,42.857142857142854,9.523809523809524,9.523809523809524,0,0,50,0,44.44444444444444,100,66.66666666666666,77.77777777777779,100,33.33333333333333,77.77777777777779,50
Latvia,Male,1,73.17073170731707,26.82926829268293,0,11.11111111111111,44.44444444444444,44.44444444444444,0,0,0,50,0,25,100,100,100,100,0,75,50
Lithuania,Female,0,77.72727272727272,22.272727272727273,8.433734939759036,22.89156626506024,45.78313253012048,19.27710843373494,3.614457831325301,10.526315789473683,7.894736842105263,50,26.31578947368421,23.684210526315788,81.25,47.368421052631575,86.8421052631579,75,15.789473684210526,81.57894736842105,93.75
Lithuania,Female,1,77.95527156549521,22.044728434504794,3.8461538461538463,37.17948717948718,39.743589743589745,17.94871794871795,1.282051282051282,0,0,21.428571428571427,10.344827586206897,6.451612903225806,92.85714285714286,79.3103448275862,100,100,10.344827586206897,93.54838709677419,85.71428571428571
Lithuania,Male,0,75.72815533980582,24.271844660194176,6.557377049180328,18.0327868852459,54.09836065573771,14.754098360655737,6.557377049180328,9.090909090909092,6.0606060606060606,44.44444444444444,36.36363636363637,24.242424242424242,88.88888888888889,27.27272727272727,87.87878787878788,77.77777777777779,27.27272727272727,81.81818181818183,88.88888888888889
Lithuania,Male,1,75.81395348837209,24.186046511627907,6.666666666666667,28.888888888888886,51.11111111111111,8.88888888888889,4.444444444444445,0,4.3478260869565215,25,15.384615384615385,26.08695652173913,75,46.15384615384615,82.6086956521739,100,38.46153846153847,86.95652173913044,100
Luxembourg,Female,0,72.27722772277228,27.722772277227726,0,46.666666666666664,46.666666666666664,6.666666666666667,0,0,42.857142857142854,100,0,42.857142857142854,100,57.14285714285714,100,100,42.857142857142854,14.285714285714285,0
Luxembourg,Female,1,71.7948717948718,28.205128205128204,0,0,100,0,0,NA,0,NA,NA,50,NA,NA,100,NA,NA,50,NA
Luxembourg,Male,0,76.47058823529412,23.52941176470588,14.285714285714285,7.142857142857142,57.14285714285714,14.285714285714285,7.142857142857142,0,12.5,100,0,50,100,100,100,100,0,37.5,0
Luxembourg,Male,1,77.77777777777779,22.22222222222222,0,100,0,0,0,0,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA
Malta,Female,0,68.33333333333333,31.666666666666664,15.384615384615385,30.76923076923077,15.384615384615385,38.46153846153847,0,0,0,60,25,100,100,50,100,80,25,0,60
Malta,Female,1,69.76744186046511,30.23255813953488,0,33.33333333333333,33.33333333333333,33.33333333333333,0,0,33.33333333333333,66.66666666666666,0,33.33333333333333,66.66666666666666,100,66.66666666666666,100,0,66.66666666666666,66.66666666666666
Malta,Male,0,71.42857142857143,28.57142857142857,4,32,32,32,0,0,12.5,50,0,37.5,100,75,87.5,75,25,62.5,75
Malta,Male,1,86.20689655172413,13.793103448275861,0,28.57142857142857,14.285714285714285,57.14285714285714,0,0,0,25,50,100,100,50,0,100,0,100,75
Netherlands,Female,0,79.50617283950618,20.493827160493826,1.25,28.749999999999996,35,26.25,8.75,4.3478260869565215,28.57142857142857,61.904761904761905,4.3478260869565215,64.28571428571429,80.95238095238095,69.56521739130434,89.28571428571429,100,21.73913043478261,17.857142857142858,57.14285714285714
Netherlands,Female,1,71.484375,28.515625,6.382978723404255,25.53191489361702,40.42553191489361,25.53191489361702,2.127659574468085,16.666666666666664,15.789473684210526,91.66666666666666,8.333333333333332,47.368421052631575,100,66.66666666666666,94.73684210526315,100,8.333333333333332,42.10526315789473,8.333333333333332
Netherlands,Male,0,78.21782178217822,21.782178217821784,7.4074074074074066,25.925925925925924,46.2962962962963,18.51851851851852,1.8518518518518516,0,24,90,14.285714285714285,44,90,71.42857142857143,84,100,14.285714285714285,48,20
Netherlands,Male,1,71.93877551020408,28.061224489795915,9.090909090909092,33.33333333333333,30.303030303030305,24.242424242424242,3.0303030303030303,0,30,62.5,18.181818181818183,50,100,63.63636363636363,90,100,18.181818181818183,30,37.5
Poland,Female,0,61.29032258064516,38.70967741935484,41.66666666666667,34.72222222222222,18.055555555555554,5.555555555555555,0,0,0,25,16,15.384615384615385,100,56.00000000000001,100,100,28.000000000000004,84.61538461538461,75
Poland,Female,1,71.18226600985221,28.817733990147783,17.5,36.25,33.75,8.75,3.75,0,7.4074074074074066,57.14285714285714,20.689655172413794,40.74074074074074,100,58.620689655172406,96.29629629629629,100,20.689655172413794,55.55555555555556,42.857142857142854
Poland,Male,0,66.66666666666666,33.33333333333333,48.275862068965516,27.586206896551722,17.24137931034483,6.896551724137931,0,6.25,20,100,0,60,75,93.75,100,75,0,20,50
Poland,Male,1,70.98901098901099,29.010989010989015,16.49484536082474,34.02061855670103,32.98969072164948,12.371134020618557,4.123711340206185,3.0303030303030303,15.625,75,15.151515151515152,56.25,83.33333333333334,66.66666666666666,78.125,100,15.151515151515152,50,41.66666666666667
